Sa2code,Total,Japanese,Hungarian,English,Serbian,Spanish,Australian Indigenous,Chinese,Austronesian,Thai,Arabic,Russian,Assyrian,Turkish,Greek,Iranic,Polish,Croatian,Korean,Maltese,French,Dutch,Italian,Vietnamese,Germa,Samoan,Macedonian,Indo Aryan,Tamil,Khmer,Portuguese
207011150,15953,44,34,12796,20,58,0,783,48,19,26,24,0,5,539,22,49,25,51,3,80,20,233,132,57,5,8,164,19,3,7
207011151,20703,75,28,14800,15,129,0,1269,223,147,127,41,0,10,379,76,37,20,73,3,113,29,279,234,91,7,25,927,83,4,19
207011154,6304,33,3,4476,12,20,0,460,38,7,28,9,0,9,340,27,9,13,36,0,7,6,274,71,26,0,8,87,21,0,0
207011155,15908,37,26,13029,6,60,0,932,68,3,39,34,0,10,310,11,39,15,43,7,85,28,182,72,49,0,9,224,30,0,8
207021156,10868,16,9,5332,27,55,0,1374,45,0,191,10,21,30,1072,86,28,74,80,21,17,13,1399,170,24,7,101,190,22,3,10
207021157,18359,71,43,8450,54,66,0,4081,149,18,268,20,0,74,1807,233,39,84,238,12,25,22,928,171,86,0,108,378,68,6,9
207021158,27047,49,33,13876,58,77,0,6100,167,21,511,43,0,74,1857,433,59,108,229,35,52,24,987,155,109,0,112,535,86,7,21
207021159,16485,23,25,9598,35,49,0,2107,96,12,423,5,8,40,1266,259,39,51,67,28,34,39,827,60,37,4,120,324,84,7,12
207021160,13151,22,21,7201,28,54,0,1712,89,10,242,23,0,38,1285,132,39,53,68,17,16,10,789,83,63,0,96,210,15,0,20
207031161,19822,57,26,14827,18,77,0,1683,102,36,46,21,0,7,414,121,40,19,103,16,46,39,310,120,96,0,32,434,65,15,14
207031162,10585,38,14,7183,7,48,0,1161,91,28,25,14,0,3,455,61,29,29,53,11,28,33,134,118,37,0,19,189,53,15,11
207031163,17373,50,18,9732,15,73,0,3978,193,87,56,11,0,8,267,74,28,35,148,8,37,11,231,213,84,3,18,596,64,3,11
207031164,16427,42,25,10508,19,50,3,2835,144,44,45,14,0,26,518,53,30,37,186,0,36,31,400,169,65,0,39,304,46,9,0
207031167,9772,21,8,7716,13,30,0,794,48,15,13,6,0,3,143,16,20,8,64,4,37,15,80,36,35,0,12,140,25,0,4
207031165,10796,40,17,5958,23,29,3,2067,190,51,48,23,0,3,513,38,42,23,70,3,37,23,188,225,26,3,10,411,89,4,6
207031166,10142,36,33,4908,8,28,0,1891,187,29,37,31,0,13,1112,28,34,31,79,8,29,7,276,252,62,3,23,463,98,18,4
208011168,12834,41,10,11472,6,39,0,124,13,12,25,60,3,21,195,9,17,20,8,6,47,20,97,12,149,0,3,15,10,6,15
208011170,15411,70,30,11933,30,64,0,371,38,17,36,344,0,19,521,6,122,30,19,3,112,32,278,36,129,0,13,115,10,0,29
208011171,10189,32,35,8208,37,36,0,150,47,7,59,128,0,33,317,7,68,33,4,7,48,19,110,9,73,0,6,74,7,6,16
210011226,6959,15,3,4505,6,57,0,134,31,3,58,8,12,31,271,3,29,55,0,99,21,9,954,20,24,8,12,190,14,0,3
208011169,21257,119,29,17389,44,64,0,441,34,11,46,266,0,23,384,3,108,23,25,3,131,38,286,34,193,5,14,69,12,3,26
208011172,16876,59,17,13509,29,96,0,281,23,16,108,290,0,62,398,17,113,41,13,4,133,49,270,23,123,7,16,119,25,14,17
212031306,11665,5,34,6186,56,219,0,478,356,16,123,54,13,202,121,203,55,32,4,13,167,11,94,162,28,96,12,1249,240,240,21
208021174,20885,152,55,15026,62,102,0,1028,92,34,78,689,0,17,959,36,136,34,148,16,62,37,378,79,121,6,25,336,43,8,17
208021175,25924,87,59,17674,94,116,0,997,139,28,138,1064,0,35,1981,31,142,38,119,15,109,20,656,124,115,0,17,351,56,22,31
208011173,15247,49,17,13178,23,41,0,117,12,20,46,106,0,9,232,16,31,27,4,4,80,54,169,9,121,0,7,35,3,0,0
208021176,16300,92,50,9368,48,78,5,1348,172,59,34,779,0,10,808,33,85,32,181,9,123,6,206,93,66,6,9,1017,141,10,29
208021181,8592,55,18,5716,25,57,0,530,83,11,41,172,3,9,519,5,40,8,58,0,37,9,142,47,44,0,3,429,27,0,3
208021177,19769,46,133,13497,25,91,0,667,99,25,36,529,4,16,347,20,216,19,43,3,202,13,137,86,110,0,6,312,39,6,27
208021178,16436,94,102,11020,45,102,0,422,76,11,32,1020,0,9,565,6,183,16,17,0,150,19,159,57,94,0,3,237,19,0,31
208021182,12371,78,13,6991,45,69,0,1058,185,37,50,541,3,23,413,15,92,25,78,4,91,10,125,83,72,0,3,862,92,6,10
208031183,8757,19,15,5805,42,38,0,527,139,7,33,43,3,96,360,18,68,47,11,3,60,11,162,239,54,4,8,215,107,129,24
208031184,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031185,11188,30,20,9019,41,60,0,242,59,14,88,56,0,47,204,11,38,55,14,22,44,29,131,66,57,0,11,81,23,13,9
209011203,18109,45,39,13781,69,83,0,631,107,24,193,32,3,16,375,42,55,146,41,22,32,36,622,52,83,6,191,303,59,0,28
213011339,11528,13,22,5917,83,196,0,282,378,7,286,21,11,151,232,33,46,347,12,244,26,8,388,201,19,46,330,1054,71,0,20
208031186,12955,12,47,10475,51,79,0,208,101,17,45,145,0,43,187,7,56,53,3,12,58,46,145,28,71,11,0,108,9,4,16
208031187,5185,8,8,4134,3,65,0,117,70,10,21,41,0,42,90,3,28,13,3,3,20,6,68,22,27,15,0,77,33,9,9
208031188,20365,75,46,15006,58,138,0,508,119,25,100,370,0,223,1080,13,113,114,30,12,72,25,390,34,98,18,10,405,58,11,9
208031190,11666,46,16,9099,34,72,0,300,59,25,50,111,0,79,504,9,49,28,13,4,53,13,188,16,40,7,6,142,52,10,19
208031189,12075,19,12,10459,21,44,0,105,45,14,27,117,0,32,188,6,36,27,3,0,29,18,101,37,84,3,11,63,16,0,12
208031191,8051,49,23,5412,18,53,0,402,64,4,95,236,3,23,366,14,64,25,27,12,17,12,198,27,46,9,11,176,23,16,15
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,18722,38,28,15448,52,100,0,295,46,22,38,234,8,54,538,20,65,21,21,7,77,37,266,19,94,0,9,152,29,3,24
210011229,24246,37,24,12559,129,300,8,906,250,35,482,11,83,111,1372,47,157,476,29,332,40,11,3544,985,71,13,346,362,51,9,64
210011230,6264,28,7,4737,7,45,0,139,16,7,55,3,3,22,163,3,50,94,0,27,10,3,383,43,19,0,15,102,3,0,5
208041194,19302,49,20,14565,24,95,0,793,149,53,38,68,0,19,756,38,51,35,45,6,101,18,209,53,53,0,6,755,39,6,18
210021235,8622,0,7,7909,6,15,0,8,12,5,15,7,0,6,25,0,8,6,0,24,10,9,93,3,30,0,4,12,3,0,3
208041195,20064,60,31,14378,11,72,0,1403,248,58,37,58,0,10,1233,40,50,20,115,5,112,18,333,163,81,3,8,400,56,4,12
209011196,9516,24,6,6309,42,29,0,717,104,13,169,3,3,9,334,17,28,61,14,21,18,10,419,101,34,3,244,241,68,8,3
209011197,20227,30,19,17218,52,70,0,300,51,23,86,47,6,27,258,38,53,88,26,27,31,29,583,43,85,3,131,126,34,0,18
209011204,8983,8,6,7156,26,15,0,275,69,20,61,29,0,3,182,10,42,74,9,13,13,11,278,6,27,0,92,98,40,0,11
209011198,13615,45,12,10154,36,68,0,523,71,40,98,35,0,9,268,44,37,91,43,8,38,11,663,47,60,6,67,186,45,0,17
209021205,10357,21,4,5155,22,95,0,1396,210,47,195,17,11,25,415,59,32,46,18,12,34,12,500,395,22,3,220,521,104,0,20
209011199,13444,34,21,8198,57,50,0,632,201,39,406,26,9,23,326,88,28,40,42,20,46,9,341,253,53,21,62,360,88,3,10
210051248,140,0,0,71,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
209011201,7691,23,9,5997,9,22,0,208,10,4,45,13,0,6,269,6,15,17,7,6,40,8,476,28,30,0,43,66,17,0,5
209011202,15628,19,10,14004,19,39,0,169,29,12,42,24,0,8,123,17,24,33,4,5,33,24,261,13,82,13,57,54,3,0,5
209021206,29925,55,17,15665,79,250,4,1766,217,74,960,30,12,110,2321,64,31,123,22,50,94,28,2113,844,53,9,785,1094,124,19,50
209021207,24692,41,18,12550,93,123,9,1218,305,58,982,28,24,87,1681,92,38,98,32,80,58,20,1993,762,53,32,672,1292,78,19,45
209031215,13452,4,5,12216,18,24,0,37,11,16,29,6,0,16,87,6,25,31,3,21,18,24,237,17,59,0,73,35,6,0,6
211031268,9318,20,11,8007,15,36,0,255,21,7,29,15,0,0,69,39,26,16,15,3,18,35,184,26,55,0,5,51,4,4,3
209041216,5436,9,5,2612,29,19,0,536,54,19,225,10,12,37,253,39,6,26,17,11,6,0,288,87,9,3,364,213,104,0,15
