value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, value_non_resial_building_aud000, sa2_code, value_alterations_additions_conversions_resial_building_aud000, sa2_name
2963.4,7,3695.0,937.0,5,1356.6,12,731.6,"210051441",669.8,"Craigieburn - Central"
28082.4,49,30946.8,13250.0,72,14494.0,121,2864.4,"210051442",338.4,"Craigieburn - North"
132318.5,490,147506.6,13005.0,74,119146.0,564,15188.1,"210051444",167.4,"Craigieburn - West"
223477.5,895,231587.8,0.0,0,222872.1,895,8110.3,"210051445",605.4,"Mickleham - Yuroke"
26081.6,30,31328.4,15368.2,73,9580.9,103,5246.8,"211011251",1132.5,"Bayswater"
84808.7,227,143879.8,5068.3,17,76953.2,244,59071.1,"211011254",2787.2,"Knoxfield - Scoresby"
96912.7,292,111414.2,9850.2,57,86189.8,349,14501.5,"210051443",872.7,"Craigieburn - South"
10840.5,16,11565.5,0.0,0,8617.7,16,725.0,"211011255",2222.8,"Lysterfield"
3183.4,5,3743.9,0.0,0,1678.4,5,560.5,"211011257",1504.9,"Rowville - North"
12311.5,29,18356.8,2363.3,10,7784.8,39,6045.3,"211011258",2163.5,"Rowville - South"
40668.5,83,42369.0,4380.0,18,32418.3,103,1700.5,"211011259",3870.3,"Wantirna"
26935.6,40,48215.0,7429.4,23,16580.6,63,21279.4,"211011260",2925.5,"Wantirna South"
27833.3,52,29938.1,4017.9,17,21321.4,69,2104.8,"211011256",2494.0,"Rowville - Central"
61454.8,48,71560.6,43944.8,188,12822.8,236,10105.8,"211011446",4687.2,"Boronia"
16171.0,33,16851.9,3010.4,14,10220.2,47,680.9,"211011447",2940.4,"Ferntree Gully (North)"
16966.3,29,17366.3,1526.6,5,8981.3,34,400.0,"211031265",6458.4,"Croydon Hills - Warranwood"
40194.7,52,112343.0,20494.4,85,16898.0,137,72148.3,"211031266",2802.3,"Ringwood"
40133.5,42,61975.5,22971.6,98,12628.3,140,21842.0,"211011448",4533.6,"Ferntree Gully (South) - Upper Ferntree Gully"
40008.5,60,53383.8,5289.1,18,26296.8,78,13375.4,"211031267",8422.6,"Ringwood East"
11876.3,15,12006.3,0.0,0,6319.5,15,130.0,"211031268",5556.8,"Ringwood North"
2853.6,4,2853.6,0.0,0,825.4,4,0.0,"211011449",2028.2,"The Basin"
45510.4,34,79037.1,15516.2,59,22407.9,93,33526.7,"211021261",7586.4,"Donvale - Park Orchards"
17146.0,20,17694.0,0.0,0,8510.3,20,548.0,"211021262",8635.7,"Warrandyte - Wonga Park"
31915.2,39,34500.5,17699.6,65,11031.9,104,2585.2,"211031450",3183.7,"Croydon - East"
39751.4,69,62592.7,13295.3,45,23372.9,114,22841.3,"211031451",3083.3,"Croydon - West"
15954.4,43,30094.9,2987.3,12,11058.8,55,14140.5,"211031263",1908.3,"Bayswater North"
36508.2,34,50080.9,17437.5,50,14434.0,84,13572.7,"211041269",4636.6,"Forest Hill"
43519.6,56,50876.9,17400.9,62,20185.0,120,7357.3,"211041270",5933.7,"Mitcham (Vic.)"
26266.5,36,29352.1,5138.0,20,16237.3,56,3085.6,"211041272",4891.2,"Vermont"
18862.4,30,22194.4,697.0,2,14276.3,32,3332.0,"211041273",3889.1,"Vermont South"
24118.0,40,42938.6,4939.6,17,16268.2,57,18820.5,"211041271",2910.2,"Nunawading"
9588.4,5,20245.8,0.0,0,3359.0,6,10657.4,"211051274",6229.4,"Belgrave - Selby"
35133.0,105,47607.9,650.8,2,31787.3,108,12475.0,"211051275",2694.8,"Chirnside Park"
26913.0,54,41563.9,4272.1,18,16482.5,73,14650.8,"211051276",6158.5,"Healesville - Yarra Glen"
22549.7,43,28338.7,6449.9,29,11706.7,75,5789.0,"211051277",4393.2,"Kilsyth"
30424.1,47,45653.8,8209.2,41,15543.5,88,15229.7,"211051278",6671.4,"Lilydale - Coldstream"
5792.7,10,7252.5,0.0,0,3182.9,10,1459.8,"211051279",2609.8,"Monbulk - Silvan"
8802.8,19,10347.2,0.0,0,6264.5,19,1544.4,"211051280",2538.4,"Montrose"
37451.7,90,49727.7,3800.0,18,27317.2,109,12276.0,"211051281",6334.5,"Mooroolbark"
8400.5,8,9797.3,0.0,0,3397.9,8,1396.8,"211051282",5002.7,"Mount Dandenong - Olinda"
82914.5,310,94041.1,2201.6,14,79742.9,325,11126.6,"212011291",970.0,"Pakenham - North"
10587.6,22,10637.6,0.0,0,6839.5,22,50.0,"211051283",3748.1,"Mount Evelyn"
3127.8,6,3712.0,400.0,2,1418.6,8,584.2,"212021454",1309.2,"Endeavour Hills - South"
72594.1,206,73913.1,13825.2,65,57401.6,271,1319.0,"212031306",1367.3,"Lynbrook - Lyndhurst"
9423.4,25,12477.5,385.2,2,7033.2,27,3054.1,"212031308",2005.0,"Pearcedale - Tooradin"
11333.7,15,13650.8,1189.1,6,5962.5,21,2317.1,"211051284",4182.2,"Upwey - Tecoma"
12776.9,26,16397.6,0.0,0,7862.8,26,3620.7,"211051285",4914.1,"Wandin - Seville"
17786.2,43,21751.9,0.0,0,12969.6,43,3965.7,"211051286",4816.6,"Yarra Valley"
260548.5,1007,275919.7,7602.9,39,248402.5,1046,15371.2,"212011287",4543.2,"Beaconsfield - Officer"
19712.9,57,25483.6,0.0,0,16673.5,57,5770.6,"212011288",3039.4,"Bunyip - Garfield"
16049.5,31,19800.0,370.5,3,9800.0,36,3750.5,"212011289",5878.9,"Emerald - Cockatoo"
20621.5,63,26304.6,0.0,0,17887.0,64,5683.1,"212011290",2734.5,"Koo Wee Rup"
82574.6,367,114522.9,7655.8,48,72222.8,415,31948.3,"212011292",2695.9,"Pakenham - South"
34671.7,38,160193.7,4844.8,17,26046.3,55,125522.0,"212021293",3780.6,"Berwick - North"
61060.7,141,65969.0,12033.4,72,47259.2,213,4908.3,"212021294",1768.1,"Berwick - South"
14409.0,40,17929.2,5827.3,33,7626.5,73,3520.2,"212021295",955.2,"Doveton"
12890.6,17,22206.2,7190.0,36,4007.3,53,9315.7,"212021297",1693.3,"Hallam"
32926.9,49,33214.4,0.0,0,27647.8,49,287.5,"212021299",5279.1,"Narre Warren North"
7443.5,18,7821.5,0.0,0,5646.7,18,378.0,"212021453",1796.8,"Endeavour Hills - North"
5880.8,8,6222.8,1650.0,6,2849.3,14,342.0,"212021455",1381.5,"Narre Warren - North East"
9780.4,28,25745.7,826.5,5,6574.0,34,15965.4,"212021456",2379.9,"Narre Warren - South West"
5281.7,14,6775.9,0.0,0,4397.1,14,1494.2,"212031457",884.6,"Narre Warren South (East)"
2890.3,5,2963.1,0.0,0,1715.7,5,72.8,"212031458",1174.6,"Narre Warren South (West)"
13459.4,25,20678.0,2840.8,11,8001.4,36,7218.5,"212041309",2617.2,"Clarinda - Oakleigh South"
52926.7,57,62831.3,36822.7,152,14357.0,211,9904.5,"212041310",1747.0,"Clayton South"
49841.8,62,241742.4,33188.4,168,14952.8,230,191900.6,"212041311",1700.6,"Dandenong"
13672.3,29,19527.0,3303.9,15,8280.4,44,5854.7,"212041312",2088.0,"Dandenong North"
11032.7,10,15528.5,5234.7,21,3427.9,31,4495.7,"212041313",2370.1,"Dingley Village"
26602.7,15,32102.7,19786.4,134,4068.8,149,5500.0,"212041459",2747.5,"Noble Park - East"
